Mediennummer;Autor;Titel;Erscheinungsjahr;Umfang;Genre;Kurze Inhaltsangabe
M595664949;Bandelow, Borwin;Wenn die Seele leidet;2010;408;Medizin;24 psychische Krankheitsbilder (u.a. Depression, Manisch-depressive Erkrankung, Angst- und Zwangsstörungen, PTBS, Borderline, Suchterkrankungen, Demenz) werden betroffenen-nah porträtiert, inkl. Selbsthilfemaßnahmen, Therapieempfehlungen und Wirksamkeitsnachweisen.
M595664950;Bengtsson, Jonas T.;Submarino;2009;383;Belletristik;Eine Milieustudie aus Dänemark über 2 Brüder, die es nicht schaffen, ihre tragische Familiengeschichte hinter sich zu lassen.
M595664881;Benioff, David;Alles auf Anfang;2010;267;Belletristik;Geschichten über Menschen, in deren Leben von einem Moment auf den anderen etwas Unglaubliches passiert und es für immer verändert.
M595661213;Benioff, David;Stadt der Diebe;2009;383;Belletristik;"Während der deutschen Belagerung Leningrads können sich 2 junge Russen vor der Hinrichtung retten, wenn sie einem Geheimdienstoffizier Eier für die Hochzeitstorte seiner Tochter besorgen; in der von Hunger und Bombardements ausgebluteten Stadt eine schier unmögliche Aufgabe."
M595665145;Bennett, Alan;Die Lady im Lieferwagen;2009;89;Humor, Satire;"Würde und koketter Anstand des Alters. In dieser Erzählung geht es um eine schrullige Alte, Miss Shepherd, die sich mit ihrem Lieferwagen in einer guten Wohngegend Londons eingenistet hat.
"
M595668155;Bergmann, Marcel;Trotzdem China;2008;190;Reisebericht;.»Trotzdem China« erzählt, wie der Traum wirklich wurde. Es ist die faszinierende Geschichte seiner Reise im Rollstuhl von Shanghai bis hinauf nach Peking und zur Chinesischen Mauer.
M595664998;Bird, Kai;J. Robert Oppenheimer;2009;672;Biografie;"Biografie über den großen amerikanischen Physiker J. Robert Oppenheimer (1904-1967), dem ""Vater der Atombombe""."
M595660912;Orth,Stephan/Blinda, Antje;Sorry, wir haben die Landebahn verfehlt ;2010;187;Humor, Satire;Kuriose und auch erschreckende Erlebnisse von Flugreisenden sind in diesem Buch zusammengefasst.
M595665474;Borowiak, Simon;Schade um den schönen Sex;2009;212;Belletristik;Der Ich-Erzähler und sein melancholischer Freund Cromwell reisen im Winter in eine Küstenstadt in Ligurien. Tragisch-komische Geschichte über die Suche nach Liebe.
M588057957;Brack, Robert;Blutsonntag;2010;225;Krimi;"Dokumentarischer Roman über die blutigen Ereignisse und ihre politischen Hintergründe mörderischer Straßenkämpfe zwischen Kommunisten, SA und der Polizei beim ""Altonaer Blutsonntag"" 1932."
